SAT_Test,,,,,,,
Benchmark,Key Size, Generated Key, Iterations, Cube Count, CPU Time, Maxrss, Key Match Result
c432,32,1.11001E+29,22,30238,0.315172,19.2109,Unknown
c499,32,1.001E+31,17,54032,0.278753,20.4023,Unknown
c499,64,1E+56,18,59500,0.336853,23.1094,Unknown
c880,32,1.11E+31,17,35024,0.215769,18.7344,Equivalent
c880,64,1.10001E+62,27,61468,0.382237,21.3008,Equivalent
c880,128,1.1101E+126,36,119334,1.38198,21.0508,Equivalent
c1355,32,1.10001E+31,24,75444,0.624083,22.6523,Equivalent
c1355,64,1.00101E+63,40,134044,1.55626,23.2422,Equivalent
c1355,128,1.011E+127,105,400562,8.77944,32.5039,Equivalent
c1908,32,1.0101E+31,18,74288,0.424288,21.2344,Equivalent
c1908,64,1.001E+63,29,126344,0.752152,23.8906,Equivalent
c1908,128,1.0011E+127,56,272766,2.40109,24.6992,Equivalent
c2670,32,1.101E+31,14,81406,0.323172,24.8984,Equivalent
c2670,64,1.0011E+63,25,146780,0.588418,23.8086,Equivalent
c2670,128,1.1011E+127,52,325290,4.71709,32.3945,Equivalent
c3540,32,1.001E+27,19,148800,0.886495,27.9844,Equivalent
c3540,64,1.00011E+63,23,186304,0.89948,31.6445,Equivalent
c3540,128,1.011E+127,38,324566,2.14957,32.5,Equivalent
c5315,32,1.101E+31,20,217468,1.12446,29.4609,Equivalent
c5315,64,1.00101E+63,31,340350,1.46916,31.418,Equivalent
c5315,128,1.101E+127,46,525928,2.99755,38.6406,Equivalent
c7552,32,1.0111E+31,17,291916,1.06117,40.0391,Equivalent
c7552,64,1.01101E+58,33,562214,1.74352,49.8711,Equivalent
c7552,128,1.0111E+127,43,749910,2.97392,53.3438,Equivalent
