SCOPE Attack Log
SCOPE,,,,KPA (in %),
Benchmark,Key Size,COPE Metric,Runtime,(Key 1),(Key 2)
c880,32,0.1196,2.0,15.625,43.75
c880,64,0.1197,3.81,28.125,31.25
c880,128,0.0530,8.5,17.1875,32.03125
c1355,32,0.1951,2.27,12.5,56.25
c1355,64,0.1650,4.36,20.3125,60.9375
c1355,128,0.1444,8.97,22.65625,65.625
c1908,32,0.5181,2.61,12.5,46.875
c1908,64,0.1758,4.76,9.375,54.6875
c1908,128,0.1537,10.11,14.84375,39.0625
c2670,32,0.2927,3.07,21.875,53.125
c2670,64,0.1588,5.83,15.625,51.5625
c2670,128,0.1178,12.16,19.53125,56.25
c3540,32,0.1106,3.49,12.5,50
c3540,64,0.0804,6.64,9.375,60.9375
c3540,128,0.0593,13.62,13.28125,50
c5315,32,0.0850,4.59,21.875,43.75
c5315,64,0.0806,8.69,15.625,59.375
c5315,128,0.0602,17.95,17.1875,53.125
c6288,32,0.0238,4.8,40.625,46.875
c6288,64,0.0263,9.3,62.5,28.125
c6288,128,0.0268,18.81,42.966875,42.1875
c7552,32,0.1350,5.89,9.375,46.875
c7552,64,0.0700,11.46,12.5,42.1875
c7552,128,0.0828,23.27,15.625,47.65625
